FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_colorado_mod1|maryland_1942,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|maryland_1942,127-p-p15_x10,127-ap,Secondary Gun,2
bb_colorado_mod1|maryland_1942,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1|maryland_1942,28-p-quad_x6-col,28-het-mk1,AA Battery,4
bb_colorado_mod1|maryland_1942,20-p-mk6_x32-col,20-he-mk3,AA Battery,5
bb_colorado_mod1|maryland_1942,12-p-mk3_x10,12-b-us,AA Battery,6
bb_colorado_mod1|maryland_1944,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|maryland_1944,127-p-p15_x8,127-ap,Secondary Gun,2
bb_colorado_mod1|maryland_1944,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1|maryland_1944,40-t-mk2_x8-col,40-he-mk1,AA Battery,4
bb_colorado_mod1|maryland_1944,40-t-mk1_x2-f-ps,40-he-mk1,AA Battery,4
bb_colorado_mod1|maryland_1944,20-p-mk6_x38-col,20-he-mk3,AA Battery,5
bb_colorado_mod1|maryland_1945,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|maryland_1945,127-ag-mk28_x8-standard,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_colorado_mod1|maryland_1945,40-t-mk2_x13-col,40-he-mk1,AA Battery,3
bb_colorado_mod1|maryland_1945,20-p-mk24_x23,20-he-mk3,AA Battery,4
bb_west_virginia_1942,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_west_virginia_1942,127-ag-mk28_x8-standard,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_west_virginia_1942,40-t-mk2_x10-col,40-he-mk1,AA Battery,3
bb_west_virginia_1942,20-p-mk6_x60-col,20-he-mk3,AA Battery,4
bb_tennessee,356-ag-3-4-mod1_abxy,356-ap-early,Primary Gun,1
bb_tennessee,127-p-p15_x14,127-ap,Secondary Gun,2
bb_tennessee,76-cp-mk11_x4,76-hc-mk24_76-aa-mk23,AA Battery,3
bb_tennessee,533-tt-hull_x2-side,,,
bb_tennessee,placeholder_torpedo,,,
